DateTime,Entries,UniqueIPs
1551533439,5989,5989
1551544240,5926,5926
1551555039,5815,5815
1551564640,5897,5897
1551574241,6131,6131
1551579646,6804,6804
1551586248,7175,7175
1551591650,7296,7296
1551599451,7422,7422
1551606653,7568,7568
1551613854,7669,7669
1551621659,7688,7688
1551628856,7750,7750
1551636057,7811,7811
1551643857,7915,7915
1551724250,7284,7284
1551736252,7366,7366
1551757255,7856,7856
1551773448,6946,6946
1551783048,6982,6982
1551797446,6690,6690
1551811843,6118,6118
1551823842,6077,6077
1551833444,6212,6212
1551844843,6251,6251
1551855643,6172,6172
1551866442,6094,6094
1551876643,6183,6183
1551888043,6110,6110
1551897644,6074,6074
1551908444,6154,6154
1551919845,6433,6433
1551930646,6530,6530
1551943245,6403,6403
1551955245,6283,6283
1551967843,6071,6071
1551979241,5874,5874
1551990640,5756,5756
1552000839,5710,5710
1552011642,5721,5721
1552022441,5631,5631
1552032640,5639,5639
1552044646,5506,5506
1552056039,5277,5277
1552067439,5341,5341
1552078238,5259,5259
1552088438,5282,5282
1552099239,5298,5298
1552108238,5344,5344
1552119640,5408,5408
1552130439,5431,5431
1552140640,5439,5439
1552152040,5506,5506
1552163440,5488,5488
1552173040,5494,5494
1552183841,5547,5547
1552194642,5573,5573
1552205441,5608,5608
1552216842,5529,5529
1552227641,5474,5474
1552237840,5456,5456
1552248641,5479,5479
1552259441,5481,5481
1552270242,5539,5539
1552281042,5528,5528
1552291842,5609,5609
1552303842,5585,5585
1552314043,5584,5584
1552324842,5558,5558
1552335642,5555,5555
1552346442,5624,5624
1552357244,5641,5641
1552368042,5586,5586
1552378844,5814,5814
1552389644,5850,5850
1552401645,5742,5742
1552413043,5663,5663
1552424444,5622,5622
1552434044,5617,5617
1552445445,5710,5710
1552455644,5698,5698
1552466446,5762,5762
1552478444,5666,5666
1552488644,5659,5659
1552499443,5629,5629
1552510844,5623,5623
1552521042,5636,5636
1552531844,5626,5626
1552542043,5655,5655
1552552843,5584,5584
1552564243,5572,5572
1552575043,5524,5524
1552585842,5501,5501
1552596643,5520,5520
1552607443,5500,5500
1552617644,5577,5577
1552626644,5600,5600
1552637446,5586,5586
1552647043,5624,5624
1552657843,5547,5547
1552669244,5539,5539
1552680043,5451,5451
1552689044,5425,5425
1552698643,5466,5466
1552709442,5450,5450
1552720244,5468,5468
1552731643,5423,5423
1552743042,5226,5226
1552752043,5270,5270
1552762244,5356,5356
1552773043,5327,5327
1552783248,5881,5881
1552794647,5993,5993
1552804858,7559,7559
1552816257,7468,7468
1552826461,7903,7903
1553382062,7800,7800
1553390461,7694,7694
1553399460,7670,7670
1553408460,7627,7627
1553417459,7637,7637
1553425861,7592,7592
1553435459,7637,7637
1553443862,7649,7649
1553462461,7669,7669
1554110473,7757,7757
1554142860,7761,7761
1554153661,7659,7659
1554164458,7593,7593
1554174661,7642,7642
1554186059,7389,7389
1554196269,7390,7390
1554208260,7313,7313
1554219063,7306,7306
1554229259,7296,7296
1554240660,7356,7356
1554251458,7339,7339
1554261058,7238,7238
1554271858,7192,7192
1554282657,7190,7190
1554293457,7141,7141
1554304259,7185,7185
1554315057,7192,7192
1554325858,7135,7135
1554334258,7149,7149
1554343859,7235,7235
1554356457,7110,7110
1554366655,6845,6845
1554374456,6834,6834
1554384055,6852,6852
1554393057,6738,6738
1554402054,6645,6645
1554410454,6633,6633
1554418855,6612,6612
1554426653,6617,6617
1554432654,6569,6569
1554440453,6523,6523
1554448252,6416,6416
1554456052,6416,6416
1554462652,6423,6423
1554470452,6394,6394
1554477066,6365,6365
1554484251,6362,6362
1554489656,6344,6344
1554497451,6339,6339
1554504053,6382,6382
1554511854,6404,6404
1554519053,6439,6439
1554526854,6474,6474
1554533453,6424,6424
1554541258,6358,6358
1554548450,6169,6169
1554555048,6107,6107
1554561649,6129,6129
1554567650,6205,6205
1554574851,6237,6237
1554582050,6217,6217
1554588650,6193,6193
1554595851,6207,6207
1554602453,6270,6270
1554608450,6273,6273
1554616251,6261,6261
1554623452,6227,6227
1554630051,6250,6250
1554637249,6281,6281
1554645050,6241,6241
1554651649,6201,6201
1554658849,6199,6199
1554666051,6187,6187
1554671449,6183,6183
1554676849,6265,6265
1554682250,6293,6293
1554690049,6294,6294
1554697250,6352,6352
1554705051,6502,6502
1554712851,6479,6479
1554721851,6465,6465
1554731452,6542,6542
1554740452,6506,6506
1554748853,6584,6584
1554759053,6677,6677
1554767454,6699,6699
1554775854,6783,6783
1554783056,7084,7084
1554792657,7136,7136
1554801056,7006,7006
1554810057,7022,7022
1554817854,6878,6878
1554826854,6656,6656
1554835255,6662,6662
1554844254,6672,6672
1554853853,6604,6604
1554862253,6639,6639
1554871256,6697,6697
1554881453,6691,6691
1554889854,6684,6684
1554899451,6628,6628
1554909052,6474,6474
1554918652,6414,6414
1554928851,6436,6436
1554936650,6435,6435
1554945657,6447,6447
1554955850,6419,6419
1554964251,6382,6382
1554973849,6289,6289
1554982251,6250,6250
1554991254,6198,6198
1555000251,6231,6231
1555008649,6302,6302
1555017654,6346,6346
1555026053,6401,6401
1555035655,6415,6415
1555045259,6383,6383
1555054252,6267,6267
1555063251,6176,6176
1555071650,6228,6228
1555081249,6339,6339
1555090252,6461,6461
1555098650,6537,6537
1555107652,6559,6559
1555116052,6647,6647
1555126252,6611,6611
1555135251,6625,6625
1555144866,6539,6539
1555154452,6548,6548
1555163452,6409,6409
1555172450,6369,6369
1555181452,6424,6424
1555189853,6488,6488
1555199453,6501,6501
1555208452,6489,6489
1555217452,6446,6446
1555226451,6411,6411
1555235453,6491,6491
1555243854,6615,6615
1555254054,6567,6567
1555263053,6560,6560
1555271454,6557,6557
1555280453,6611,6611
1555288854,6682,6682
1555299054,6703,6703
1555308057,6675,6675
1555317054,6713,6713
1555323657,6980,6980
1555331460,7154,7154
1555338061,7384,7384
1555435269,7584,7584
1555444259,7502,7502
1555453862,7093,7093
1555462253,6588,6588
1555469473,6597,6597
1555477253,6509,6509
1555485052,6386,6386
1555494053,6310,6310
1555502453,6410,6410
1555511454,6426,6426
1555520474,6405,6405
1555528858,6363,6363
1555536657,6366,6366
1555543257,6527,6527
1555551061,6691,6691
1555558865,6785,6785
1555566059,6816,6816
1555575660,6809,6809
1555585855,6717,6717
1555597855,6422,6422
1555607451,6323,6323
1555617062,6320,6320
1555626059,6369,6369
1555634458,6383,6383
1555644655,6171,6171
1555653053,6044,6044
1555662651,5925,5925
1555671047,5823,5823
1555680647,5699,5699
1555689046,5674,5674
1555698048,5719,5719
1555707049,5773,5773
1555715448,5816,5816
1555724452,5857,5857
1555733451,5922,5922
1555743050,5873,5873
1555752051,5786,5786
1555761047,5814,5814
1555770648,5813,5813
1555779048,5720,5720
1555786852,5802,5802
1555794649,5877,5877
1555803648,5942,5942
1555810848,5996,5996
1555818047,5975,5975
1555828250,6098,6098
1555837248,5961,5961
1555844448,5998,5998
1555852248,6036,6036
1555862449,5998,5998
1555870848,5949,5949
1555879247,5908,5908
1555888249,5937,5937
1555897848,5981,5981
1555906847,5879,5879
1555915847,5760,5760
1555924846,5764,5764
1555935046,5690,5690
1555942848,5712,5712
1555951247,5820,5820
1555960247,5906,5906
1555969250,5941,5941
1555978251,6019,6019
1555985448,5966,5966
1555995651,5882,5882
1556004049,5838,5838
1556016644,5304,5304
1556026843,5150,5150
1556037043,5126,5126
1556046642,5056,5056
1556056844,4915,4915
1556065842,4684,4684
1556074242,4568,4568
1556080840,4686,4686
1556086242,4909,4909
1556094043,5025,5025
1556101246,5094,5094
1556109045,5213,5213
1556116245,5301,5301
1556123445,5270,5270
1556131244,5317,5317
1556139646,5495,5495
1556146847,5600,5600
1556154049,5912,5912
1556162448,5982,5982
1556171450,6329,6329
1556181651,6290,6290
1556193651,6277,6277
1556206252,6115,6115
1556217053,6183,6183
1556227859,6333,6333
1556237461,6465,6465
1556248857,6592,6592
1556258457,6734,6734
1556268657,6854,6854
1556278254,6888,6888
1556286055,6965,6965
1556295656,7008,7008
1556305254,7038,7038
1556313054,7009,7009
1556322055,7024,7024
1556331056,7037,7037
1556338855,7075,7075
1556347855,7016,7016
1556356855,7054,7054
