DateTime,AddedIPs,RemovedIPs
1555834575,0,1
1555836748,1,1
1555838653,1,0
1555844458,1,0
1555846337,1,47
1555848300,0,92
1555852352,1,2
1555856421,0,2
1555860255,0,1
1555862191,1,0
1555864126,1,1
1555866032,0,1
1555867940,1,0
1555869883,3,0
1555881407,1,0
1555887163,0,1
1555889057,1,0
1555896278,1,0
1555900097,0,1
1555903947,0,1
1555905872,1,0
1555913534,1,0
1555915481,1,0
1555923036,0,1
1555926976,1,0
1555930867,0,1
1555932988,2,1
1555934921,1,0
1555936831,0,1
1555940669,1,0
1555942576,1,0
1555948328,0,1
1555950261,1,1
1555956991,0,3
1555962744,0,1
1555964664,2,0
1555966589,0,1
1555974281,1,0
1555976467,0,1
1555982209,0,1
1555984095,0,1
1555991789,3,1
1555993702,1,0
1555995695,1,0
1555997547,2,0
1555999486,0,1
1556001372,0,1
1556009053,1,0
1556011238,1,0
1556013148,0,1
1556018897,1,2
1556021783,1,1
1556027561,0,1
1556029466,0,1
1556037390,0,1
1556041224,1,1
1556046981,2,0
1556050815,0,1
1556052759,1,1
1556054656,1,0
1556059335,1,0
1556061141,1,0
1556070740,2,0
1556076513,0,1
1556078524,0,3
1556080358,1,1
1556082280,0,1
1556084213,1,1
1556091875,1,0
1556093775,1,0
1556095719,1,1
1556097762,2,1
1556099771,1,0
1556101711,1,0
1556105549,0,2
1556107503,1,0
1556109371,0,1
1556121141,1,0
1556123055,1,0
1556125000,1,0
1556128872,1,1
1556132675,0,2
1556136516,1,0
1556138433,1,1
1556140342,1,1
1556142518,3,0
1556144424,1,1
1556146355,1,1
1556150194,1,1
1556152116,2,0
1556155965,1,0
1556157936,0,2
1556161717,2,0
1556167473,1,1
1556169384,0,1
1556173248,1,0
1556178972,0,1
1556180923,0,1
1556183797,0,1
1556185725,0,2
1556187617,0,1
1556191488,2,0
1556193380,0,1
1556195323,1,0
1556197296,2,0
1556203229,2,0
1556205142,1,0
1556207088,0,1
1556208982,2,1
1556210981,2,1
1556215384,0,1
1556219435,1,0
1556223405,0,1
1556225565,1,1
1556227456,0,1
1556229381,0,3
1556231391,1,1
1556234178,1,1
1556236096,1,2
1556238013,0,2
1556241857,1,1
1556243775,2,0
1556247645,1,2
1556249559,1,0
1556255538,0,1
1556261561,0,1
1556263466,1,0
1556271164,1,0
1556274975,2,0
1556276895,0,1
1556278845,3,1
1556280764,1,0
1556282656,0,2
1556284585,0,1
1556286528,1,0
1556288430,1,1
1556290341,2,1
1556292255,0,1
1556294210,0,1
1556296110,1,1
1556298065,0,2
1556300203,1,0
1556304062,2,0
1556305940,1,1
1556307854,2,0
1556309809,1,0
1556311694,0,1
1556313649,2,0
1556317761,3,1
1556319718,1,1
1556321541,1,0
1556323496,0,1
1556325388,1,0
1556329221,1,2
1556331156,0,1
1556334983,0,1
1556336897,2,1
1556342654,1,0
1556346524,1,0
1556350366,0,1
1556352286,1,0
1556354170,1,0
1556356093,2,0
1556358038,0,1
1556360075,2,0
